Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
18-000955,Operating While Intoxicated,09/11/18 1955,09/11/18 1955,09/11/18 1955,Lincoln Way and University Boulevard,Arrest
18-000960,Operating While Intoxicated,09/13/18 0143,09/13/18 0143,09/13/18 0143,Hayward Avenue and Knapp Street,Arrest
18-000961,Hit and Run,09/13/18 0811,NA,09/12/18 1700,East Campus Parking Deck,Open
18-000962,Public Intoxication,09/13/18 2255,09/13/18 2255,09/13/18 2255,100 Block Hawyard Avenue,Arrest
18-000963,Operating While Intoxicated,09/14/18 0244,09/14/18 0244,09/14/18 0244,Dotson Drive and Mortensen Road,Arrest
18-000965,Criminal Mischief,09/14/18 0846,09/11/15 1815,09/13/18 2100,Lot 112J,Open
18-000966,Theft,09/14/18 1102,09/13/18 2100,09/14/18 0530,Armory Building,Recovered
18-000971,Operating While Intoxicated,09/15/18 0247,09/15/18 0247,09/15/18 0247,100 Block Wilmouth Avenue,Arrest
18-000972,Alcohol Violation,09/15/18 0906,09/15/18 0906,09/15/18 0906,Lot G2,Cited
18-000973,Alcohol Violation,09/15/18 0910,09/15/18 0910,09/15/18 0910,Lot G3,Cited
18-000974,Alcohol Violation,09/15/18 0921,09/15/18 0921,09/15/18 0921,Lot G3,Cited
18-000975,Alcohol Violation,09/15/18 0928,09/15/18 0928,09/15/18 0928,Lot G3,Cited
18-000976,Alcohol Violation,09/15/18 0949,09/15/18 0949,09/15/18 0949,Lot G3,Cited
18-000977,Alcohol Violation,09/15/18 0956,09/15/18 0956,09/15/18 0956,1732-2 S. 4th Street,Cited
18-000978,Alcohol Violation,09/15/18 1006,09/15/18 1006,09/15/18 1006,Lot G3,Cited
18-000979,Alcohol Violation,09/15/18 1015,09/15/18 1015,09/15/18 1015,Lot G3,Cited
18-000980,Alcohol Violation,09/15/18 1021,09/15/18 1021,09/15/18 1021,1732-2 S. 4th Street,Cited
18-000983,Alcohol Violation,09/15/18 1021,09/15/18 1021,09/15/18 1021,1732-2 S. 4th Street,Cited
18-000981,Alcohol Violation,09/15/18 1033,09/15/18 1033,09/15/18 1033,Lot G3,Cited
18-000982,Alcohol Violation,09/15/18 1039,09/15/18 1039,09/15/18 1039,Lot G3,Cited
18-000984,Alcohol Violation,09/15/18 1042,09/15/18 1042,09/15/18 1042,Lot G2,Cited
18-000985,Alcohol Violation,09/15/18 1046,09/15/18 1046,09/15/18 1046,1732-2 S. 4th Street,Cited
18-000986,Public Intoxication,09/15/18 1143,09/15/18 1143,09/15/18 1143,Lot G2,Arrest
18-000987,Alcohol Violation,09/15/18 1212,09/15/18 1212,09/15/18 1212,Lot G3,Cited
18-000993,Assault,09/16/18 0208,09/16/18 0208,09/16/18 0208,Arbor Street and South Sheldon Avenue,Open
18-000994,Criminal Mischief,09/16/18 0208,NA,09/16/18 0208,Memorial Union,Open
18-000995,Operating While Intoxicated,09/16/18 0553,09/16/18 0553,09/16/18 0553,East Campus Parking Deck,Arrest
18-000996,Theft,09/16/18 1927,09/14/18 2030,09/16/18 1900,Marston Hall,Open
18-000997,Drug Violation,09/16/18 2305,09/16/18 2305,09/16/18 2305,Freeman Hall,Arrest
18-001001,Theft,09/17/18 1844,09/17/18 1530,09/17/18 1800,Town Engineering Building,Closed
18-001002,Theft,09/17/18 2212,09/14/18 1145,09/17/18 0715,Bessey Hall,Open
18-001005,Operating While Intoxicated,09/19/18 0114,09/19/18 0114,09/19/18 0114,Lincoln Way and South Riverside Drive,Arrest
18-001006,Harassment,09/19/18 1205,09/17/18 1854,09/19/18 1148,Student Services Building,Open
18-001007,Theft,09/19/18 1625,09/03/18 0000,09/07/18 0000,Wilson Hall,Open
18-001008,Drug Violation,09/20/18 0033,09/20/18 0033,09/20/18 0033,Larch Hall,Arrest
18-001009,Harassment,09/20/18 1345,NA,09/20/18 1345,Fredericksen Court,Open
18-001010,Hit and Run,09/20/18 1550,09/20/18 0000,09/20/18 1535,350 Farmhouse Lane,Open
18-001011,Theft,09/20/18 1833,09/19/18 1200,09/20/18 0800,Parks Library,Open
18-001012,Driving Violation,09/21/18 0257,09/21/18 0257,09/21/18 0257,Beach Road and Lincoln Way,Cited
18-001013,Alcohol Violation,09/21/18 2116,09/21/18 2116,09/21/18 2116,Lincoln Way and Union Drive,Cited
18-001014,Public Intoxication,09/21/18 2301,09/21/18 2301,09/21/18 2301,Lincoln Way and State Avenue,Arrest
18-001015,Theft,09/22/18 0136,09/21/18 2215,09/22/18 0000,Buchanan Hall,Unfounded
18-001017,Alcohol Violation,09/22/18 0922,09/22/18 0922,09/22/18 0922,Lot G3,Cited
18-001018,Alcohol Violation,09/22/18 0931,09/22/18 0931,09/22/18 0931,Lot G3,Cited
18-001019,Alcohol Violation,09/22/18 0958,09/22/18 0958,09/22/18 0958,Lot G3,Cited
18-001020,Alcohol Violation,09/22/18 0959,09/22/18 0959,09/22/18 0959,Lot S8,Cited
18-001021,Alcohol Violation,09/22/18 1012,09/22/18 1012,09/22/18 1012,Lot G3,Cited
18-001023,Alcohol Violation,09/22/18 1015,09/22/18 1015,09/22/18 1015,Lot G3,Cited
18-001022,Alcohol Violation,09/22/18 1018,09/22/18 1018,09/22/18 1018,Lot G2,Cited
18-001024,Alcohol Violation,09/22/18 1019,09/22/18 1019,09/22/18 1019,Lot G3,Cited
18-001027,Public Intoxication,09/22/18 1024,09/22/18 1024,09/22/18 1024,Lot G3,Arrest
18-001026,Alcohol Violation,09/22/18 1039,09/22/18 1039,09/22/18 1039,Lot G3,Cited
18-001025,Alcohol Violation,09/22/18 1044,09/22/18 1044,09/22/18 1044,Lot G3,Cited
18-001028,Alcohol Violation,09/22/18 1046,09/22/18 1046,09/22/18 1046,1732-2 South 4th Street,Cited
18-001029,Alcohol Violation,09/22/18 1104,09/22/18 1104,09/22/18 1104,Lot G2,Cited
18-001030,Alcohol Violation,09/22/18 1111,09/22/18 1111,09/22/18 1111,Lot G3,Cited
18-001031,Alcohol Violation,09/22/18 1120,09/22/18 1120,09/22/18 1120,Lot G3,Cited
18-001032,Alcohol Violation,09/22/18 1159,09/22/18 1159,09/22/18 1159,Lot G3,Cited
18-001033,PUblic Intoxication,09/22/18 1231,09/22/18 1231,09/22/18 1231,Lot G2,Arrest
18-001034,Alcohol Violation,09/22/18 1258,09/22/18 1258,09/22/18 1258,Lot G3,Cited
18-001035,Alcohol Violation,09/22/18 1321,09/22/18 1321,09/22/18 1321,Lot G3,Cited
18-001036,Alcohol Violation,09/22/18 1349,09/22/18 1349,09/22/18 1349,Lot G3,Cited
18-001037,Alcohol Violation,09/22/18 1409,09/22/18 1409,09/22/18 1409,Lot G3,Cited
18-001041,Sexual Assault,09/22/18 1607,NA,NA,On Campus,Open
18-001043,Public Intoxication,09/22/18 2338,09/22/18 2338,09/22/18 2338,Hayward Avenue and Mortensen Road,Arrest
18-001044,Drug Violation,09/23/18 0048,09/22/18 2338,09/22/18 2338,Lincoln Way and Lynn Avenue,Arrest
18-001045,Hit and Run,09/23/18 1320,NA,09/22/18 1320,Lot 54,Open
18-001047,Theft,09/23/18 2039,09/20/18 0000,09/21/18 0000,71 Frederiksen Court,Open
18-001048,Theft,09/23/18 2207,NA,09/22/18 2207,Geoffroy Hall,Open
18-001049,Harassment,09/24/18 1043,08/31/18 0000,09/20/18 0000,Beardshear Hall,Open
18-001051,Hit and Run,09/24/18 1631,09/24/18 1631,09/24/18 1631,Haber Road and North University Boulevard,Open
18-001052,Sexual Assault,09/24/18 1650,09/23/18 0000,09/23/18 0000,Frederiksen Court,Open
18-001054,Harassment,09/24/18 2338,09/24/18 2250,NA,College of Design,Open
18-000922,Drug Violation,09/25/18 1445,NA,09/25/18 1445,Mayfield Drive,Arrest
18-001059,Hit and Run,09/26/18 0924,09/23/18 0000,09/26/18 0924,Lot S7,Open
18-001060,Harassment,09/26/18 1500,NA,09/26/18 1500,Fredericksen Court,Open
18-001061,Assault,09/27/18 0031,09/25/18 1945,09/25/18 1945,Lot S5,Open
18-001062,Alcohol Violation,09/27/18 0031,09/27/18 0031,09/27/18 0031,Arbor Street and State Street,Cited
18-001063,Fraud,09/27/18 1027,NA,09/27/18 1027,Armory Building,Open
18-001064,Drug Violation,09/27/18 2050,09/27/18 2050,09/27/18 2050,Arbor Street and South Sheldon Avenue,Arrest
18-001066,Drug Violation,09/27/18 2253,09/27/18 2253,09/27/18 2253,Lincoln Way and Morrill Road,Arrest
18-001067,Disorderly Conduct,09/28/18 0106,09/28/18 0106,09/28/18 0106,Arbor Street and South Sheldon Avenue,Arrest
18-001068,Operating While Intoxicated / Weapon Violation,09/28/18 0214,09/28/18 0214,09/28/18 0214,4717 Mortensen Road,Arrest
18-001069,Public Intoxication,09/28/18 0251,09/28/18 0251,09/28/18 0251,Stange Road and North University Boulevard,Arrest
18-001070,Burglary / Assault,09/28/18 0944,09/28/18 0944,09/28/18 0944,Wallace Hall,Arrest
18-001071,Theft of a Motor Vehicle,09/28/18 1047,09/27/18 2230,09/28/18 1030,Intermodal Facility,Recovered
18-001072,Hit and Run,09/28/18 1556,09/14/18 0000,09/21/18 0200,Lot 61A,Open
18-001073,Alcohol Violation,09/28/18 2130,09/28/18 2130,09/28/18 2130,Arbor Street and State Avenue,Cited
18-001074,Drug Violation / Driving Violation / Interference with Official Acts,09/28/18 2204,09/28/18 2204,09/28/18 2204,4912 Mortensen Road,Arrest
18-001077,Theft,09/29/18 0916,09/23/18 2000,09/25/18 1000,56 Schilletter Village,Recovered
18-001079,Public Intoxication / Drug Violation,09/30/18 0030,09/30/18 0030,09/30/18 0030,Bissell Road and Union Drive,Arrest
18-001081,Harassment,09/30/18 1508,NA,09/30/18 1508,Elings Hall,Open
18-001082,Drug Violation,09/30/18 1912,09/30/18 1912,09/30/18 1912,Friley Hall,Arrest
18-001084,Theft,10/01/18 1517,10/01/18 1357,10/01/18 1517,Larch Hall,Open
18-001087,Sexual Assault,10/01/18 2040,09/27/18 0000,09/27/18 2040,Elm Hall,Open
18-001088,Public Intoxication,10/02/18 0153,10/02/18 0153,10/02/18 0153,Little Street and Welch Avenue,Arrest
18-001089,Theft,10/02/18 1933,NA,10/02/18 0900,Wilson Hall,Open
18-001091,Drug Violation,10/03/18 0109,10/03/18 0109,10/03/18 0109,Welch Hall,Arrest
18-001092,Driving Violation,10/03/18 0153,10/03/18 0153,10/03/18 0153,Mortensen Road and State Avenue,Arrest
18-001093,Theft,10/03/18 0910,10/01/18 0000,10/02/18 1113,Hoover Hall,Open
18-001095,Theft,10/03/18 2319,NA,10/03/18 2319,Durham Center,Open
18-001096,Sexual Assault,10/04/18 1236,09/15/18 0000,09/15/18 0000,University Village,Open
18-001098,Theft,10/04/18 1754,10/02/18 1000,10/04/18 1700,Larch Hall,Open
18-001099,Theft,10/04/18 2112,10/04/18 0900,10/04/18 1900,Memorial Union,Open
18-001100,Public Intoxication,10/05/18 0014,10/05/18 0014,10/05/18 0014,Union Drive and Welch Road,Arrest
18-001102,Theft,10/05/18 1146,10/04/18 0930,10/05/18 1100,61 Schilletter Village,Open
18-001103,Theft,10/05/18 1605,10/04/18 1100,10/04/18 1200,Parks Library,Open
18-001104,Criminal Mischief,10/05/18 1744,NA,10/05/18 1744,Lot 63,Open
18-001105,Public Intoxication,10/06/18 0210,10/06/18 0210,10/06/18 0210,Knapp Street and South Sheldon Avenue,Arrest
18-001107,Criminal Mischief,10/06/18 0318,10/06/18 0318,10/06/18 0318,Larch Hall,Open
18-001108,Hit and Run,10/06/18 1726,NA,10/06/18 1726,Lot 202D,Open
18-001109,Public Intoxication,10/07/18 0212,10/07/18 0212,10/07/18 0212,Lincoln Way and Sheldon Avenue,Arrest
18-001111,Public Intoxication,10/07/18 1946,10/07/18 1946,10/07/18 1946,2508 Mortensen Road,Arrest
18-001112,OWI,10/08/18 0309,10/08/18 0309,10/08/18 0309,Hayward Avenue and Hunt Street,Arrest
18-001113,Theft,10/08/18 0921,10/01/18 0000,10/05/18 0000,Larch Hall,Recovered
18-001115,Driving Violation,10/09/18 0119,10/09/18 0119,10/09/18 0119,Lincoln Way and Wilmoth Avenue,Cited
18-001117,OWI,10/09/18 0153,10/09/18 0153,10/09/18 0153,Lincoln Way and University Boulevard,Arrest
18-001120,Assault,10/09/18 1709,10/05/18 2330,10/05/18 2330,Martin Hall,Open
18-001119,Criminal Mischief,10/09/18 1809,10/03/18 1700,10/04/18 1700,1500 Center Drive,Open
18-001122,Motor Vehicle Theft,10/10/18 1025,10/09/18 1525,10/10/18 0945,Lot B4,Recovered
18-001123,Hit and Run,10/10/18 1406,10/10/18 1130,10/10/18 1130,Memorial Union,Open
18-001125,Hit and Run,10/11/18 1347,NA,10/11/18 1347,Lot 63,Open
18-001361,Theft,11/12/18 0954,11/09/18 1100,11/11/18 1100,53 Frederiksen Court,Open
18-001363,Theft,11/12/18 1130,11/06/18 1300,11/11/18 1900,Lagomarcino Hall,Open
18-001366,Sexual Assault,11/12/18 1602,10/26/18 0000,10/26/18 0000,72 Frederiksen Court,Open
18-001367,Drug Violation,11/12/18 2001,11/12/18 2001,11/12/18 2001,Freeman Hall,Arrest
18-001370,Hit and Run,11/14/18 1417,11/14/18 1417,11/14/18 1417,East Campus Parking Deck,Open
18-001371,Scam,11/14/18 1531,11/13/18 0000,11/13/18 0000,Buchanan Hall,Open
18-001373,Drug Violation,11/14/18 2100,11/14/18 2100,11/14/18 2100,Knapp Street and Lynn Avenue,Arrest
18-001374,Drug Violation,11/15/18 0220,11/15/18 0220,11/15/18 0220,Hayward Avenue and Lincoln Way,Cited
18-001377,Drug Violation/Alcohol Violation,11/15/18 2040,11/15/18 2040,11/15/18 2040,Linden Hall,Cited
18-001378,Public Intoxication,11/15/18 2227,11/15/18 2227,11/15/18 2227,Larch Hall,Arrest
18-001380,Criminal Mischief,11/16/18 0041,,11/16/18 0041,Beach Road and Lincoln Way,Open
18-001381,OWI,11/16/18 0152,11/16/18 0152,11/16/18 0152,Lincoln Way and North Hazel Avenue,Arrest
18-001382,Theft,11/16/18 0825,,,Memorial Union,Open
18-001385,Traffic Violation,11/16/18 2220,11/16/18 2220,11/16/18 2220,Lot 112B,Arrest
18-001386,OWI,11/17/18 0035,11/17/18 0035,11/17/18 0035,South Dakota Avenue and Steinbeck Street,Arrest
18-001388,Driving Violation,11/19/18 0016,11/19/18 0016,11/19/18 0016,Lincoln Way and Marshall Avenue,Cited
18-001389,Fraud,11/19/18 1553,,11/12/18 0000,Molecular Biology,Open
18-001390,Driving Violation,11/19/18 2019,11/19/18 2019,11/19/18 2019,Franklin Avenue and Lincoln Way,Arrest
18-001392,Driving Violation,11/21/18 1507,11/21/18 1507,11/21/18 1507,Bruner Drive and Stange Road,Arrest
18-001394,Alcohol Violation,11/22/18 2137,11/22/18 2137,11/22/18 2137,Blankenburg Drive and Stange Road,Cited
18-001395,Traffic Violation,11/23/18 1757,11/23/18 1757,11/23/18 1757,13th Street and Duff Avenue,Open
18-001396,OWI,11/24/18 0150,11/24/18 0150,11/24/18 0150,Iowa Avenue and Ontario Street,Arrest
18-001398,Alcohol Violation,11/24/18 1549,11/24/18 1549,11/24/18 1549,Lot G2,Cited
18-001399,Alcohol Violation,11/24/18 1554,11/24/18 1554,11/24/18 1554,Lot G3,Cited
18-001400,Alcohol Violation,11/24/18 1605,11/24/18 1605,11/24/18 1605,Lot G3,Cited
18-001401,Alcohol Violation,11/24/18 1621,11/24/18 1621,11/24/18 1621,Lot G3,Cited
18-001402,Alcohol Violation,11/24/18 1712,11/24/18 1712,11/24/18 1712,Lot G3,Cited
18-001403,Alcohol Violation,11/24/18 1704,11/24/18 1704,11/24/18 1704,1732-2 South 4th Street,Cited
18-001404,Alcohol Violation,11/24/18 1734,11/24/18 1734,11/24/18 1734,1732-2 South 4th Street,Cited
18-001405,Alcohol Violation,11/24/18 1756,11/24/18 1756,11/24/18 1756,Lot S5,Cited
18-001406,Public Intoxication,11/24/18 1956,11/24/18 1956,11/24/18 1956,Lot S5,Cited
18-001407,Alcohol Violation,11/24/18 2122,11/24/18 2122,11/24/18 2122,Lot A4,Cited
18-001409,Criminal Mischief,11/24/18 2131,,11/24/18 2131,Helser Hall,Open
18-001410,Drug Violation,11/25/18 0225,11/25/18 0225,11/25/18 0225,Hunt Street and Welch Avenue,Arrest
18-001411,Drug Violation,11/25/18 1954,11/25/18 1954,11/25/18 1954,Helser Hall,Arrest
18-001412,Drug Violation,11/26/18 0125,11/26/18 0125,11/26/18 0125,Clemens Boulevard and South Dakota Avenue,Arrest
18-001414,Theft,11/26/18 1158,,11/25/18 2100,Lot 8,Open
18-001417,Drug Violation,11/27/18 0037,11/27/18 0037,11/27/18 0037,Coconino Road and Mortensen Road,Arrest
18-001418,Harassment,11/27/18 1501,,11/27/18 1501,Various Locations,Open
18-001421,Fraud,11/29/18 1041,11/27/18 0000,11/27/18 0000,Wilson Hall,Open
18-001422,Hit and Run,11/29/18 1118,11/29/18 1118,11/29/18 1118,Lot 21,Arrest
18-001423,Harassment,11/29/18 1107,,11/29/18 1107,Friley Hall,Open
18-001424,Theft of Motor Vehicle,11/29/18 1358,11/29/18 1300,11/29/18 1330,Lot 112B,Recovered
18-001425,Drug Violation,11/29/18 1618,11/29/18 1618,11/29/18 1618,Welch Hall,Arrest
18-001427,Drug Violation,11/29/18 2033,11/29/18 2033,11/29/18 2033,Hayward Avenue and Lincoln Way,Arrest
18-001428,Driving Violation,11/30/18 0230,11/30/18 0230,11/30/18 0230,Hickory Drive and Lincoln Way,Cited
18-001429,OWI,11/30/18 0234,11/30/18 0234,11/30/18 0234,Hawthorn Court Drive and Stange Road,Arrest
18-001430,Driving Violation,11/30/18 0416,11/30/18 0416,11/30/18 0416,Garfield Avenue and Ontario Street,Cited
18-001431,Theft,11/30/18 1032,11/30/18 1032,11/30/18 1032,Memorial Union,Unfounded
18-001433,Burglary,11/30/18 1536,11/16/18 0000,11/25/18 0000,38 Schilletter Village,Open
18-001435,Traffic Violation,12/01/18 0151,12/01/18 0151,12/01/18 0151,Lincoln Way and Stanton Avenue,Arrest
18-001437,Domestic Assault,12/01/18 0907,,,60 Schilletter Village,Open
18-001439,Alcohol Violation,12/01/18 2257,12/01/18 2257,12/01/18 2257,Buchanan Hall,Cited
18-001441,Traffic Violation,12/02/18 1204,12/02/18 1204,12/02/18 1204,100 South Sheldon Avenue,Cited
18-001443,Theft,12/03/18 1623,12/03/18 1445,12/03/18 1520,Black Engineering Building,Recovered
18-001444,Hit and Run,12/03/18 1736,,12/03/18 1736,Lot 35,Open
18-001445,Hit and Run,12/04/18 0044,12/04/18 0030,12/04/18 0030,Lot 63,Open
18-001447,Hit and Run,12/04/18 0058,,12/04/18 0058,Lot 7,Open
18-001449,Theft,12/04/18 1620,12/04/18 1235,12/04/18 1415,Ross Hall,Open
18-001450,Drug Violation,12/04/18 1745,12/04/18 1745,12/04/18 1745,Geoffroy Hall,Open
18-001452,Drug Violation,12/06/18 0118,12/06/18 0118,12/06/18 0118,North University Boulevard and Wallace Road,Arrest
18-001453,OWI,12/06/18 0145,12/06/18 0145,12/06/18 0145,Hayward Avenue and Mortensen Road,Arrest
18-001454,Drug Violation,12/06/18 1402,12/06/18 1402,12/06/18 1402,Welch Hall,Arrest
18-001456,Theft,12/06/18 2054,,,Beyer Hall,Recovered
18-001457,Public Intoxication,12/06/18 2239,12/06/18 2239,12/06/18 2239,Ann Campbell Transit Station,Arrest
18-001458,Theft,12/07/18 0921,12/04/18 1000,12/06/18 1730,Hoover Hall,Open
18-001459,Theft,12/07/18 1335,12/05/18 0000,12/06/18 0800,Forker Building,Open
18-001460,Theft,12/07/18 1759,,12/07/18 1030,Parks Library,Open
18-001461,Public Intoxication,12/08/18 0040,12/08/18 0040,12/08/18 0040,Chamberlain Street and Stanton Avenue,Arrest
18-001462,OWI,12/08/18 0127,12/08/18 0127,12/08/18 0127,Lincoln Way and South Hyland Avenue,Arrest
18-001463,Public Intoxication,12/08/18 0307,12/08/18 0307,12/08/18 0307,Bissell Road and Union Drive,Arrest
18-001466,Public Intoxication,12/09/18 0108,12/09/18 0108,12/09/18 0108,Arbor Street and South Sheldon Avenue,Arrest
18-001467,OWI,12/09/18 0149,12/09/18 0149,12/09/18 0149,Osborn Drive and Wallace Road,Arrest
18-001468,OWI,12/09/18 0319,12/09/18 0319,12/09/18 0319,Beyer Court and Union Drive,Arrest
18-001470,Sexual Assault,12/09/18 1549,04/09/16 0000,04/09/16 0000,Martin Hall,Open
18-001472,Theft,12/10/18 1007,,12/11/18 0900,Power Plant,Open
18-001474,Driving Violation,12/11/18 0720,12/11/18 0720,12/11/18 0720,Farm House Lane and Osborn Drive,Cited
18-001476,Theft,12/10/18 0918,,11/14/18 0000,Eaton Hall,Open
18-001478,Harassment,12/07/18 1608,,,Various Locations,Open
18-001479,Drug Violation,12/11/18 1327,12/11/18 1327,12/11/18 1327,Helser Hall,Open
18-001480,Theft,12/12/18 1210,12/11/18 1730,12/12/18 1130,Larch Hall,Open
18-001483,Public Intoxication,12/13/18 0104,12/13/18 0104,12/13/18 0104,Hyland Avenue and West Street,Arrest
18-001484,Public Intoxication,12/13/18 0147,12/13/18 0147,12/13/18 0147,Little Street and Welch Avenue,Arrest
18-001486,Harassment,12/13/18 1205,11/13/18 0000,,Various Locations,Open
18-001488,Hit and Run,12/13/18 1323,,12/13/18 1323,Lot 112G,Open
18-001491,Driving Violation,12/13/18 2015,12/13/18 2015,12/13/18 2015,2650 Lincoln Way,Arrest
18-001492,Public Intoxication,12/14/18 0032,12/14/18 0032,12/14/18 0032,2100 Gable Lane,Arrest
18-001494,Public Intoxication,12/14/18 0114,12/14/18 0114,12/14/18 0114,Gray Avenue and Lincoln Way,Arrest
18-001495,OWI,12/14/18 0150,12/14/18 0150,12/14/18 0150,Hyland Avenue and Lincoln Way,Arrest
18-001496,OWI,12/14/18 0218,12/14/18 0218,12/14/18 0218,Lincoln Way and University Boulevard,Arrest
18-001498,OWI,12/14/18 0445,12/14/18 0445,12/14/18 0445,Clemens Boulevard and South Dakota Avenue,Arrest
18-001500,Harassment,12/14/18 0830,,12/14/18 0000,Various Locations,Open
18-001501,Drug Violation,12/14/18 1851,12/14/18 1851,12/14/18 1851,Beach Road and Richardson Court,Arrest
18-001503,OWI,12/15/18 0051,12/15/18 0051,12/15/18 0051,2500 Chamberlain Street,Arrest
18-001504,OWI,12/15/18 0128,12/15/18 0128,12/15/18 0128,Hayward Avenue and Storm Street,Arrest
18-001505,OWI,12/15/18 0252,12/15/18 0252,12/15/18 0252,Lincolnway and Lynn Avenue,Arrest
18-001508,OWI,12/16/18 0208,12/16/18 0208,12/16/18 0208,Lincoln Way and State Avenue,Arrest
18-001509,Traffic Violation/Drug Violation,12/17/18 0115,12/17/18 0115,12/17/18 0115,Lincoln Way and Welch Avenue,Arrest
18-001510,Hit and Run,12/17/18 1607,12/15/18 0000,12/15/18 0000,Lot D3,Open
18-001512,Theft,12/18/18 1159,12/16/18 1200,12/18/18 1159,Armory,Recovered
18-001515,Theft,12/20/18 1703,12/12/18 2030,12/13/18 1130,Buchanan Hall,Open
18-001516,Driving Violation,12/21/18 0214,12/21/18 0214,12/21/18 0214,Beach Road and Lincoln Way,Arrest
18-001518,Harassment,12/22/18 1127,,12/21/18 0630,General Services Building,Open
18-001519,Driving Violation,12/23/18 1738,12/23/18 1738,12/23/18 1738,Lincoln Way and North Dakota Avenue,Cited
18-001520,Driving Violation,12/23/18 2155,12/23/18 2155,12/23/18 2155,Hayward Avenue and Lincoln Way,Cited
18-001521,OWI,12/26/18 0122,12/26/18 0122,12/26/18 0122,Hayward Avenue and Mortensen Road,Arrest
18-001522,Fraud,12/26/18 0836,,11/06/18 0000,Memorial Union,Open
18-001524,OWI,12/27/18 0035,12/27/18 0035,12/27/18 0035,Alcott Avenue and Lincoln Way,Arrest
